VoiceClip_No,TextTranscript,label,processed_content
Voice152,get someone who knows what finding different this terrible and put with,Agg,get someone who knows what finding different this terrible and put with
Voice153,your agent talked back with beyond,Agg,your agent talked back with beyond
Voice154,need issues solved soon possible because this level poor work,Agg,need issues solved soon possible because this level poor work
Voice156,your 1212 hotline has endless loops and driving,Agg,your 1212 hotline has endless loops and driving
Voice158,start right you can lose have had enough this,Agg,start right you can lose have had enough this
Voice161,why cant you respond issues you address customer concerns take business elsewhere,Agg,why cant you respond issues you address customer concerns take business elsewhere
Voice164,tell your technical people come and check else they change the new router whatever they can and want get back,Agg,tell your technical people come and check else they change the new router whatever they can and want get back
Voice166,the worst telephone service the whole when you call any landline you get this awful sri lankan music wasting time money for please sell this useless company india shut,Agg,the worst telephone service the whole when you call any landline you get this awful sri lankan music wasting time money for please sell this useless company india shut
Voice167,words explain how bad this company had issue with router for didnt have access data througout the time but had pay they couldnt fix the issue all this time after dozen more only option had was else continue keep paying each month for data,Agg,words explain how bad this company had issue with router for didnt have access data througout the time but had pay they couldnt fix the issue all this time after dozen more only option had was else continue keep paying each month for data
Voice168,very have been requesting for fiber connection for past even though the location slt fulfill,Agg,very have been requesting for fiber connection for past even though the location slt fulfill
Voice169,much attitude with these people who work this goes the slt call center,Agg,much attitude with these people who work this goes the slt call center
Voice170,services provided worse than government internet breaks down technical team only works from 9am you have issues any time after 5pm will have wait whole day get,Agg,services provided worse than government internet breaks down technical team only works from 9am you have issues any time after 5pm will have wait whole day get
Voice171,your automated fault complain hotline have wait least mins get contact with call center even then they give little customer service absolutely would not recommend anyone,Agg,your automated fault complain hotline have wait least mins get contact with call center even then they give little customer service absolutely would not recommend anyone
Voice172,experienced poor customer service for the first time with slt this reported router fault customer technician called and didnt turn and the complaint was closed with out resolving,Agg,experienced poor customer service for the first time with slt this reported router fault customer technician called and didnt turn and the complaint was closed with out resolving
Voice174,for what purpose have you guys mentioned the contact one answering the,Agg,for what purpose have you guys mentioned the contact one answering the
Voice175,worst customer service have ever hotline numbers always,Agg,worst customer service have ever hotline numbers always
Voice176,very poor and slow your websites are not working will have very much patient you want pay the bill always asks try again disrecommending other trying get newer connection from,Agg,very poor and slow your websites are not working will have very much patient you want pay the bill always asks try again disrecommending other trying get newer connection from
Voice177,get really dissapointed when network problem while important zoom and also you answer for long period not use slt connections,Agg,get really dissapointed when network problem while important zoom and also you answer for long period not use slt connections
Voice179,connection not stable have sent them emails and called slt more than times inform about the their customer service representatives are always keeping records and they always said that ticket prioritized their list but nothing happened,Agg,connection not stable have sent them emails and called slt more than times inform about the their customer service representatives are always keeping records and they always said that ticket prioritized their list but nothing happened
Voice180,got fibre connection from slt march soon got fixed router los started blinking made first complain march end since then every single day calling slt but until now 24th may not even single technician contacted for fix the worse services this called best telecommunication company sri lanka,Agg,got fibre connection from slt march soon got fixed router los started blinking made first complain march end since then every single day calling slt but until now 24th may not even single technician contacted for fix the worse services this called best telecommunication company sri lanka
Voice181,there single day went without issues after obtaining the new fiber connection from you guys usually have call you tens and hundreds times get the technical team come and fix the youn take for idiots when contact the call center,Agg,there single day went without issues after obtaining the new fiber connection from you guys usually have call you tens and hundreds times get the technical team come and fix the youn take for idiots when contact the call center
Voice182,worst customer its been more than hours logged complain but response even when phoned you slt was once company liked the most but now now very,Agg,worst customer its been more than hours logged complain but response even when phoned you slt was once company liked the most but now now very
Voice183,very bad bad customer cannot contact any agent all even tho you say hours customer,Agg,very bad bad customer cannot contact any agent all even tho you say hours customer
Voice184,very poor has not been working more than week twice but unable connection and broadband also not working since days complain any response yet,Agg,very poor has not been working more than week twice but unable connection and broadband also not working since days complain any response yet
Voice185,worst customer service doesnt respond complaints tech filed over complaints for the same issue over the last month still fixed given any responses,Agg,worst customer service doesnt respond complaints tech filed over complaints for the same issue over the last month still fixed given any responses
Voice186,worst service not returning slow internet speed and transparency data peo connection also the worst cable service provider ever,Agg,worst service not returning slow internet speed and transparency data peo connection also the worst cable service provider ever
Voice187,the worst customer service never answer the,Agg,the worst customer service never answer the
Voice191,very have been requesting for fiber connection for past even though the location slt fulfill request,Agg,very have been requesting for fiber connection for past even though the location slt fulfill request
Voice192,poor customer service you have the most ineffective telecommunications customer service ever,Agg,poor customer service you have the most ineffective telecommunications customer service ever
Voice193,unfortunately one there sri lanka telecom answer customers phone not only the branches but also head very disappointed,Agg,unfortunately one there sri lanka telecom answer customers phone not only the branches but also head very disappointed
Voice194,worst customer service people dont respond complaints tech filed over complaints for the same issue over the last month still fixed given any responses,Agg,worst customer service people dont respond complaints tech filed over complaints for the same issue over the last month still fixed given any responses
Voice195,changed houses from mirihana 23rd requested telecom reconnect the phone line templers where putting the they informed that will take max and this the 6th week nothing children are missing online lessons etc what wrong with telecom,Agg,changed houses from mirihana 23rd requested telecom reconnect the phone line templers where putting the they informed that will take max and this the 6th week nothing children are missing online lessons etc what wrong with telecom
Voice196,this one the useless companies sri they installed fiber optic facility since then wifi all have informed and given more than call but sad note far connection given,Agg,this one the useless companies sri they installed fiber optic facility since then wifi all have informed and given more than call but sad note far connection given
Voice197,slt used the best service provider telecommunication but now are robbing people unwanted subscription fees,Agg,slt used the best service provider telecommunication but now are robbing people unwanted subscription fees
Voice198,contact 1212 useless your automated chat service horrible,Agg,contact 1212 useless your automated chat service horrible
Voice200,worst customer service the people working the call center are careless and absolutely unprofessional useless regional manager,Agg,worst customer service the people working the call center are careless and absolutely unprofessional useless regional manager
Voice205,the absolute worst service encountered you slt will just take our money and give headaches,Agg,the absolute worst service encountered you slt will just take our money and give headaches
Voice206,ordered new connection from maradana branch and been days since the promised delivery does not work does not answer phone very unprofessional and useless customer care service,Agg,ordered new connection from maradana branch and been days since the promised delivery does not work does not answer phone very unprofessional and useless customer care service
Voice207,one responds appropriate take any action for any complaints faults,Agg,one responds appropriate take any action for any complaints faults
Voice209,gampha branch office never picked when called them had down there person but they still resolve problem,Agg,gampha branch office never picked when called them had down there person but they still resolve problem
Voice210,have been charged for internet peo all sudden for which never neither have router for neither see any connection,Agg,have been charged for internet peo all sudden for which never neither have router for neither see any connection
Voice211,had worst service from customer care even they are not listening our they wasting our time,Agg,had worst service from customer care even they are not listening our they wasting our time
Voice213,worst experience since days wifi not really they said repair going but was days still action very bad service,Agg,worst experience since days wifi not really they said repair going but was days still action very bad service
Voice214,extremely slow internet terrible customer towards coupled with poor technical support,Agg,extremely slow internet terrible customer towards coupled with poor technical support
Voice215,have tried contact 1212 for the last one why isnt this place are just paying not even call when complaints are,Agg,have tried contact 1212 for the last one why isnt this place are just paying not even call when complaints are
Voice217,worst customer service provided the called the contact number agent kotte branch given maharagama make compliant since there response for refund request made 21st november 2023 8th january when informed that have made request for refund and still has not been,Agg,worst customer service provided the called the contact number agent kotte branch given maharagama make compliant since there response for refund request made 21st november 2023 8th january when informed that have made request for refund and still has not been
Voice218,new fibre line connected but not with the numbers paid tried several times contact the but business suffers due the worst service provided slt,Agg,new fibre line connected but not with the numbers paid tried several times contact the but business suffers due the worst service provided slt
Voice219,extremely disappointed with the installation staff were excellent and assured that the fibre connection internet facility will provided its taken almost hours and the internet connection has not been,Agg,extremely disappointed with the installation staff were excellent and assured that the fibre connection internet facility will provided its taken almost hours and the internet connection has not been
Voice220,called express utter frustration and disappointment with the quality your internet despite paying for your service are experiencing yet another interruption our wifi this the second time today that our internet has gone and has happened more than five times this week alone,Agg,called express utter frustration and disappointment with the quality your internet despite paying for your service are experiencing yet another interruption our wifi this the second time today that our internet has gone and has happened more than five times this week alone
Voice221,very disappointed say that there response your phone and there responsible officer file any asked 1212 about this and even they provide proper details,Agg,very disappointed say that there response your phone and there responsible officer file any asked 1212 about this and even they provide proper details
Voice222,very disappointed say that your services are very poor than please all the time the internet connection was bad and you should take steps ensure that the consumers enjoy flawless internet,Agg,very disappointed say that your services are very poor than please all the time the internet connection was bad and you should take steps ensure that the consumers enjoy flawless internet
Voice227,staff not enough provide good more problems due system takes long time get even simple thing,Agg,staff not enough provide good more problems due system takes long time get even simple thing
Voice228,customer care but technical support takes service good though,Agg,customer care but technical support takes service good though
Voice229,the worst customer service days internet called and ask for supervisors they say they are call back finally got hold supervisor said leave,Agg,the worst customer service days internet called and ask for supervisors they say they are call back finally got hold supervisor said leave
Voice230,not that efficient informed them remove internet connection and had call them several times get removed,Agg,not that efficient informed them remove internet connection and had call them several times get removed
Voice231,this the worst service the world they care about the web site there customer service its cannot access your know anything have call the point customer service they have access our,Agg,this the worst service the world they care about the web site there customer service its cannot access your know anything have call the point customer service they have access our
Voice234,never answer for the phone none the numbers are working and when asked from customer service number they say that they neither have another way regret myself for getting slt,Agg,never answer for the phone none the numbers are working and when asked from customer service number they say that they neither have another way regret myself for getting slt
Voice235,service agents are very rude and very provide solutions for our inquiries,Agg,service agents are very rude and very provide solutions for our inquiries
Voice236,your online service 1212 really calls are not called the hotline twice waited online for close minutes both calls but body why you call hotline even the online messenger service never answered,Agg,your online service 1212 really calls are not called the hotline twice waited online for close minutes both calls but body why you call hotline even the online messenger service never answered
Voice239,phone number always busy not hardly responding very poor going permanently disconnected land line with peo and will move some other loyal service provide,Agg,phone number always busy not hardly responding very poor going permanently disconnected land line with peo and will move some other loyal service provide
Voice241,worst customer service and responding one answering the phone worst worst,Agg,worst customer service and responding one answering the phone worst worst
Voice242,phones are not been waiting for line transferred since february still waiting for will you connect the required,Agg,phones are not been waiting for line transferred since february still waiting for will you connect the required
Voice247,why hard work for days and did not respond quickly for the complaints cancelled and changed still they keep sending statements and says cannot cancel till certain time,Agg,why hard work for days and did not respond quickly for the complaints cancelled and changed still they keep sending statements and says cannot cancel till certain time
Voice248,very poor you seek customers money only whenever connect internet says complained over times but not any action,Agg,very poor you seek customers money only whenever connect internet says complained over times but not any action
Voice250,worst customer service have ever called them more than times and visited times and still each time they said someone will come home fix but not single person came called,Agg,worst customer service have ever called them more than times and visited times and still each time they said someone will come home fix but not single person came called
Voice251,when calling provided number they saying that wrong they update their contact,Agg,when calling provided number they saying that wrong they update their contact
Voice252,called the customer service 2nd december 2020 the number which mentioned the the gentleman who answered the phone very rude and help clarify the very bad customer,Agg,called the customer service 2nd december 2020 the number which mentioned the the gentleman who answered the phone very rude and help clarify the very bad customer
Voice253,most useless customer service last day keep trying 1212 number one answer the calls,Agg,most useless customer service last day keep trying 1212 number one answer the calls
Voice254,worst customer service since three months they even sort out simple technical accountability and professionalism are below,Agg,worst customer service since three months they even sort out simple technical accountability and professionalism are below
Voice255,worse customer service they should learn how treat was pregnant that came here represent with the letter husband was also unable come those customer service agent harassed,Agg,worse customer service they should learn how treat was pregnant that came here represent with the letter husband was also unable come those customer service agent harassed
Voice256,very poor customer quick service from tele company which talks more technology always,Agg,very poor customer quick service from tele company which talks more technology always
Voice257,terrible impossible contact via phone you constantly keep rejecting while getting connection will not disconnect forcing pay bills for services you longer require,Agg,terrible impossible contact via phone you constantly keep rejecting while getting connection will not disconnect forcing pay bills for services you longer require
Voice258,worst service ever and the worst customer care they never trying resolve the problem and always passing the ball another,Agg,worst service ever and the worst customer care they never trying resolve the problem and always passing the ball another
Voice259,worst customer service called them several times fix internet connection they never answered any improve your customer service,Agg,worst customer service called them several times fix internet connection they never answered any improve your customer service
Voice260,have been ever seen was applied conection now more then one month but still slt not provided connection and homagama slt phone also not answering,Agg,have been ever seen was applied conection now more then one month but still slt not provided connection and homagama slt phone also not answering
Voice261,very poor service telephone not contact technical,Agg,very poor service telephone not contact technical
Voice262,takes forever get done the simplest employees have respect for their duty their,Agg,takes forever get done the simplest employees have respect for their duty their
Voice263,been more than weeks since mother requested for detailed bill for her landline,Agg,been more than weeks since mother requested for detailed bill for her landline
Voice264,really disappointed about the service all most nearly 2months requested fiber connection but still,Agg,really disappointed about the service all most nearly 2months requested fiber connection but still
Voice267,paid 6000 for peo connection and telephone line but your company provide any connection,Agg,paid 6000 for peo connection and telephone line but your company provide any connection
Voice268,you got customer care just number for made complaint days response all,Agg,you got customer care just number for made complaint days response all
Voice270,even answer phone either keeps ringing line busy especially during lunch bunch pathetic customer support,Agg,even answer phone either keeps ringing line busy especially during lunch bunch pathetic customer support
Voice3,made complaint today did not get any calls from you guys for the technical issues because working from home and need the internet and need get this done urgently,Agg,made complaint today did not get any calls from you guys for the technical issues because working from home and need the internet and need get this done urgently
Voice4,calling reactivate been requesting this for the last three days and still not connected want raise complaint against your regional,Agg,calling reactivate been requesting this for the last three days and still not connected want raise complaint against your regional
Voice9,actually made this complaint yellow you know that cable that goes from the set box the that got now made reported one attended the are travel company and need this attended extremely really dissappointed with your service,Agg,actually made this complaint yellow you know that cable that goes from the set box the that got now made reported one attended the are travel company and need this attended extremely really dissappointed with your service
voice13,have two numbers for which are not getting physical get physical bill prefer getting physical bill rather than getting not all the people are updated with the new,Agg,have two numbers for which are not getting physical get physical bill prefer getting physical bill rather than getting not all the people are updated with the new
Voice18,sick this garbage internet and useless router fix more patience for your,Agg,sick this garbage internet and useless router fix more patience for your
Voice21,have loss signal blinking red lights los flashing red after the only looked indoors and this happened few hours ago before the paid blame better fix quickly,Agg,have loss signal blinking red lights los flashing red after the only looked indoors and this happened few hours ago before the paid blame better fix quickly
Voice22,have made complaint regarding the picture not appearing our have been making this complain from yesterday,Agg,have made complaint regarding the picture not appearing our have been making this complain from yesterday
Voice27,why that you people get delay giving response from your office have been waiting after minutes only you are all connected far possible try conduct early possible which really good for everybody,Agg,why that you people get delay giving response from your office have been waiting after minutes only you are all connected far possible try conduct early possible which really good for everybody
Voice28,wifi not working without that cannot using mobile data right now have lot meetings for that need the can you inform your team come soon possible,Agg,wifi not working without that cannot using mobile data right now have lot meetings for that need the can you inform your team come soon possible
Voice29,made complain regarding fiber connction last week and been calling for the past three not doing their,Agg,made complain regarding fiber connction last week and been calling for the past three not doing their
Voice35,fix the fiber cable hanging the electrical line the voice and your pathetic router cutting this within today else you will loose,Agg,fix the fiber cable hanging the electrical line the voice and your pathetic router cutting this within today else you will loose
Voice36,fed with your billing where are hard copy want them not some lame text fix this billing mess,Agg,fed with your billing where are hard copy want them not some lame text fix this billing mess
Voice37,want disconnect slt line cause have been calling you all for the past few days telling that internet connection not working and none you all attended problem usless slt services,Agg,want disconnect slt line cause have been calling you all for the past few days telling that internet connection not working and none you all attended problem usless slt services
Voice39,one your agent was really rude want complain about your bloody agent,Agg,one your agent was really rude want complain about your bloody agent
voice42,phone service still down after your lack urgency fix now switching provider who,Agg,phone service still down after your lack urgency fix now switching provider who
Voice43,tired your this and your support,Agg,tired your this and your support
Voice46,you people are been hold,Agg,you people are been hold
Voice48,last time called your agent said technical support will sent place within the but nobody guys are terrible believe how bad this service,Agg,last time called your agent said technical support will sent place within the but nobody guys are terrible believe how bad this service
Voice51,fed with your phone service has been down for your lack urgency fix immediately,Agg,fed with your phone service has been down for your lack urgency fix immediately
Voice56,your agent been passed and problem getting tired the,Agg,your agent been passed and problem getting tired the
